caldt,vwretd,tbill
20000103,-0.009385,6.58
20000104,-0.038436,6.49
20000105,0.000861,6.62
20000106,-0.002834,6.57
20000107,0.032185,6.52
20000110,0.011417,6.57
20000111,-0.013781,6.67
20000112,-0.004246,6.72
20000113,0.012918,6.63
20000114,0.010723,6.69
20000118,-0.0065,6.75
20000119,0.001412,6.73
20000120,-0.00866,6.79
20000121,-0.002923,6.79
20000124,-0.027223,6.69
20000125,0.006582,6.7
20000126,-0.005063,6.69
20000127,-0.003752,6.68
20000128,-0.026674,6.66
20000131,0.024638,6.68
20000201,0.011097,6.62
20000202,-0.000557,6.6
20000203,0.012121,6.49
20000204,-0.000492,6.53
20000207,0.000628,6.64
20000208,0.01138,6.59
20000209,-0.020373,6.56
20000210,0.003727,6.67
20000211,-0.020607,6.63
20000214,0.001837,6.56
20000215,0.009352,6.56
20000216,-0.010351,6.56
20000217,-0.000424,6.58
20000218,-0.030001,6.49
20000222,0.004273,6.36
20000223,0.007722,6.44
20000224,-0.00572,6.36
20000225,-0.014729,6.36
20000228,0.010583,6.37
20000229,0.014415,6.42
20000301,0.009355,6.39
20000302,0.001277,6.4
20000303,0.020696,6.39
20000306,-0.012653,6.42
20000307,-0.026713,6.39
20000308,0.008669,6.38
20000309,0.024992,6.35
20000310,-0.004284,6.39
20000313,-0.007836,6.36
20000314,-0.018024,6.31
20000315,0.024295,6.29
20000316,0.047306,6.26
20000317,0.005001,6.2
20000320,-0.005342,6.18
20000321,0.02477,6.13
20000322,0.005105,6.13
20000323,0.018145,6.08
20000324,0.000268,6.2
20000327,-0.002325,6.21
20000328,-0.010875,6.17
20000329,0.001094,6.18
20000330,-0.013676,6.06
20000331,0.008026,6.03
20000403,0.002777,6
20000404,-0.00605,5.9
20000405,-0.004872,5.9
20000406,0.008649,5.93
20000407,0.010101,5.86
20000410,-0.007807,5.8
20000411,-0.002796,5.89
20000412,-0.021777,5.97
20000413,-0.017048,5.94
20000414,-0.059392,5.85
20000417,0.032607,6.01
20000418,0.028617,6.05
20000419,-0.009244,5.99
20000420,0.004224,5.99
20000424,-0.002569,6
20000425,0.03417,6.14
20000426,-0.012069,6.14
20000427,0.002953,6.23
20000428,-0.00854,6.23
20000501,0.010786,6.29
20000502,-0.015308,6.32
20000503,-0.020843,6.4
20000504,-0.004372,6.46
20000505,0.015642,6.51
20000508,-0.005706,6.57
20000509,-0.008494,6.53
20000510,-0.021252,6.47
20000511,0.01959,6.43
20000512,0.008513,6.51
20000515,0.021946,6.47
20000516,0.01012,6.43
20000517,-0.012316,6.48
20000518,-0.007502,6.56
20000519,-0.021631,6.51
20000522,-0.00436,6.44
20000523,-0.020077,6.45
20000524,0.019539,6.47
20000525,-0.013255,6.39
20000526,-0.001875,6.33
20000530,0.032366,6.38
20000531,-0.001226,6.29
20000601,0.020402,6.2
20000602,0.019616,6.15
20000605,-0.006698,6.12
20000606,-0.007085,6.14
20000607,0.010396,6.13
20000608,-0.007096,6.13
20000609,-0.003281,6.13
20000612,-0.007719,6.09
20000613,0.016449,6.11
20000614,0.000881,6.06
20000615,0.005811,6.05
20000616,-0.009541,5.99
20000619,0.015042,6
20000620,-0.006659,6.03
20000621,0.002097,6.11
20000622,-0.018218,6.12
20000623,-0.007393,6.19
20000626,0.009739,6.11
20000627,-0.003335,6.1
20000628,0.003403,6.11
20000629,-0.008666,6.04
20000630,0.00858,6.03
20000703,0.009827,6
20000705,-0.016173,5.99
20000706,0.007423,6.05
20000707,0.015319,6.01
20000710,-0.002222,6.04
20000711,0.003459,6.06
20000712,0.008432,6.09
20000713,0.001894,6.01
20000714,0.009428,6.1
20000717,0.000541,6.17
20000718,-0.011055,6.16
20000719,-0.007859,6.16
20000720,0.009351,6.01
