DATE,spindx,logret
19611229,71.55,0.003219713
19620131,68.84,-0.038611535
19620228,69.96,0.016138679
19620330,69.55,-0.005877732
19620430,65.24,-0.063973141
19620531,59.63,-0.089913975
19620629,54.75,-0.085381434
19620731,58.23,0.061623317
19620831,59.12,0.015168591
19620928,56.27,-0.049407743
19621031,56.52,0.004433024
19621130,62.26,0.096724607
19621231,63.1,0.013401605
19630131,66.2,0.047959693
19630228,64.29,-0.029276365
19630329,66.57,0.034849927
19630430,69.8,0.047379984
19630531,70.8,0.014224991
19630628,69.37,-0.020404503
19630731,69.13,-0.003465707
19630830,72.5,0.047597772
19630930,71.7,-0.011095814
19631031,74.01,0.031709472
19631129,73.23,-0.010595046
19631231,75.02,0.024149572
19640131,77.04,0.026570023
19640228,77.8,0.009816664
19640331,78.98,0.015053225
19640430,79.46,0.006059095
19640528,80.37,0.011387222
19640630,81.69,0.016290623
19640731,83.18,0.018075339
19640831,81.83,-0.01636301
19640930,84.18,0.028313439
19641030,84.86,0.008045476
19641130,84.42,-0.005198499
19641231,84.75,0.003901406
19650129,87.56,0.032618526
19650226,87.43,-0.001485799
19650331,86.16,-0.01463244
19650430,89.11,0.033665529
19650528,88.42,-0.007773373
19650630,84.12,-0.049853838
19650730,85.25,0.013343765
19650831,87.17,0.022272119
19650930,89.96,0.031504892
19651029,92.42,0.026978278
19651130,91.61,-0.008802969
19651231,92.43,0.008911165
19660131,92.88,0.004856736
19660228,91.22,-0.018034166
19660331,89.23,-0.022056865
19660429,91.06,0.020301324
19660531,86.13,-0.055660847
19660630,84.74,-0.016270038
19660729,83.6,-0.013544225
19660831,77.1,-0.08094024
19660930,76.56,-0.007028533
19661031,80.2,0.046448768
19661130,80.45,0.003112359
19661230,80.33,-0.001492723
19670131,86.61,0.075272132
19670228,86.78,0.001960898
19670331,90.2,0.038653247
19670428,94.01,0.041371733
19670531,89.08,-0.053866317
19670630,90.64,0.017360774
19670731,94.75,0.044346227
19670831,93.64,-0.011784201
19670929,96.71,0.032259167
19671031,93.9,-0.029486424
19671130,94,0.001064396
19671229,96.47,0.025937297
19680131,92.24,-0.044838203
19680229,89.36,-0.031720721
19680329,90.2,0.009356272
19680430,97.59,0.078745602
19680531,98.68,0.011107263
19680628,99.58,0.00907905
19680730,97.74,-0.018650449
19680830,98.86,0.011393816
19680930,102.67,0.037815253
19681031,103.41,0.007181708
19681129,108.37,0.046849629
19681231,103.86,-0.04250746
19690131,103.01,-0.008217768
19690228,98.13,-0.048532941
19690328,101.51,0.033864186
19690430,103.69,0.021248363
19690529,103.46,-0.002220614
19690630,97.71,-0.057181157
19690731,91.83,-0.062064866
19690829,95.51,0.039291912
19690930,93.12,-0.02534197
19691031,97.24,0.043293165
19691128,93.81,-0.035910689
19691231,92.06,-0.018830922
19700130,85.02,-0.079554015
19700227,89.5,0.051352102
19700331,89.63,0.00145146
19700430,81.52,-0.094841696
19700529,76.55,-0.062904267
19700630,72.72,-0.051327672
19700731,78.05,0.070733197
19700831,81.52,0.043498742
19700930,84.21,0.03246529
19701030,83.25,-0.01146555
19701130,87.2,0.046356202
19701231,92.15,0.055213353
19710129,95.88,0.039679725
19710226,96.75,0.009032922
19710331,100.31,0.036135059
19710430,103.95,0.035644623
19710528,99.63,-0.04244669
19710630,99.7,0.000702353
19710730,95.58,-0.042202084
19710831,99.03,0.035459241
19710930,98.34,-0.006991973
19711029,94.23,-0.04269226
19711130,93.99,-0.002550209
19711231,102.09,0.082666384
19720131,103.94,0.017959032
19720229,106.57,0.024988237
19720330,107.2,0.005894202
19720428,107.67,0.004374745
19720531,109.53,0.017127491
19720630,107.14,-0.022062094
19720731,107.39,0.002330677
19720831,111.09,0.033873616
19720929,110.55,-0.004872776
19721031,111.58,0.009273915
19721130,116.67,0.044607614
19721229,118.05,0.011758827
19730131,116.03,-0.017259485
19730228,111.68,-0.038211139
19730330,111.52,-0.001433692
19730430,106.97,-0.041655526
19730531,104.95,-0.019064375
19730629,104.26,-0.006596267
19730731,108.22,0.037278413
19730831,104.25,-0.037374332
19730928,108.43,0.039312943
19731031,108.29,-0.00129199
19731130,95.96,-0.120881376
19731231,97.55,0.016433629
19740131,96.57,-0.010096933
19740228,96.22,-0.003630898
19740329,93.98,-0.023555243
19740430,90.31,-0.039833797
19740531,87.28,-0.034126855
19740628,86,-0.014774045
19740731,79.31,-0.080983072
19740830,72.15,-0.094616939
19740930,63.54,-0.127077656
19741031,73.9,0.151043199
19741129,69.97,-0.054646249
19741231,68.56,-0.020357304
19750131,76.98,0.115836374
19750228,81.59,0.058161058
19750331,83.36,0.021461873
19750430,87.3,0.046181885
19750530,91.15,0.043156038
19750630,95.19,0.043368393
19750731,88.75,-0.070051466
19750829,86.88,-0.021295572
19750930,83.87,-0.035259875
19751031,89.04,0.059817726
19751128,91.24,0.02440769
19751231,90.19,-0.011574841
19760130,100.86,0.11181486
19760227,99.71,-0.011467444
19760331,102.77,0.030227509
19760430,101.64,-0.011056323
19760528,100.18,-0.014468591
19760630,104.28,0.040111021
19760730,103.44,-0.008087855
19760831,102.91,-0.005136915
19760930,105.24,0.022388636
19761029,102.9,-0.022485813
19761130,102.1,-0.007804918
19761231,107.46,0.05116596
19770131,102.03,-0.051851798
19770228,99.82,-0.021898324
19770331,98.42,-0.014124529
19770429,98.44,0.00020319
19770531,96.12,-0.023849815
19770630,100.48,0.044361292
19770729,98.85,-0.016355153
19770831,96.77,-0.021266521
19770930,96.53,-0.002483188
19771031,92.34,-0.044376424
19771130,94.83,0.026608398
19771230,95.1,0.002843155
19780131,89.25,-0.063487549
19780228,87.04,-0.025073638
19780331,89.21,0.024625358
19780428,96.83,0.081963723
19780531,97.24,0.004225286
19780630,95.53,-0.017741815
19780731,100.68,0.052506836
19780831,103.29,0.025593396
19780929,102.54,-0.0072876
19781031,93.15,-0.096041869
19781130,94.7,0.016502903
19781229,96.11,0.014779369
19790131,99.93,0.038976572
19790228,96.28,-0.037209328
19790330,101.59,0.053684492
19790430,101.76,0.001671994
19790531,99.08,-0.026689495
19790629,102.91,0.037927215
19790731,103.81,0.008707485
19790831,109.32,0.051717056
19790928,109.32,0
19791031,101.82,-0.071072813
19791130,106.16,0.041740842
19791231,107.94,0.016628127
19800131,114.16,0.056025456
19800229,113.66,-0.004389437
19800331,102.09,-0.107356759
19800430,106.29,0.04031643
19800530,111.24,0.045518822
19800630,114.24,0.026611469
19800731,121.67,0.063010963
19800829,122.38,0.005818496
19800930,125.46,0.024856025
19801031,127.47,0.01589406
19801128,140.52,0.097468785
19801231,135.76,-0.034461206
19810130,129.55,-0.046821714
19810227,131.27,0.013189364
19810331,136,0.035398615
19810430,132.81,-0.02373535
19810529,132.59,-0.001657875
19810630,131.21,-0.010462567
