caldt,vwretd
20000103,-0.009385
20000104,-0.038436
20000105,0.000861
20000106,-0.002834
20000107,0.032185
20000110,0.011417
20000111,-0.013781
20000112,-0.004246
20000113,0.012918
20000114,0.010723
20000118,-0.006500
20000119,0.001412
20000120,-0.008660
20000121,-0.002923
20000124,-0.027223
20000125,0.006582
20000126,-0.005063
20000127,-0.003752
20000128,-0.026674
20000131,0.024638
20000201,0.011097
20000202,-0.000557
20000203,0.012121
20000204,-0.000492
20000207,0.000628
20000208,0.011380
20000209,-0.020373
20000210,0.003727
20000211,-0.020607
20000214,0.001837
20000215,0.009352
20000216,-0.010351
20000217,-0.000424
20000218,-0.030001
20000222,0.004273
20000223,0.007722
20000224,-0.005720
20000225,-0.014729
20000228,0.010583
20000229,0.014415
20000301,0.009355
20000302,0.001277
20000303,0.020696
20000306,-0.012653
20000307,-0.026713
20000308,0.008669
20000309,0.024992
20000310,-0.004284
20000313,-0.007836
20000314,-0.018024
20000315,0.024295
20000316,0.047306
20000317,0.005001
20000320,-0.005342
20000321,0.024770
20000322,0.005105
20000323,0.018145
20000324,0.000268
20000327,-0.002325
20000328,-0.010875
20000329,0.001094
20000330,-0.013676
20000331,0.008026
20000403,0.002777
20000404,-0.006050
20000405,-0.004872
20000406,0.008649
20000407,0.010101
20000410,-0.007807
20000411,-0.002796
20000412,-0.021777
20000413,-0.017048
20000414,-0.059392
20000417,0.032607
20000418,0.028617
20000419,-0.009244
20000420,0.004224
20000424,-0.002569
20000425,0.034170
20000426,-0.012069
20000427,0.002953
20000428,-0.008540
20000501,0.010786
20000502,-0.015308
20000503,-0.020843
20000504,-0.004372
20000505,0.015642
20000508,-0.005706
20000509,-0.008494
20000510,-0.021252
20000511,0.019590
20000512,0.008513
20000515,0.021946
20000516,0.010120
20000517,-0.012316
20000518,-0.007502
20000519,-0.021631
20000522,-0.004360
20000523,-0.020077
20000524,0.019539
20000525,-0.013255
20000526,-0.001875
20000530,0.032366
20000531,-0.001226
20000601,0.020402
20000602,0.019616
20000605,-0.006698
20000606,-0.007085
20000607,0.010396
20000608,-0.007096
20000609,-0.003281
20000612,-0.007719
20000613,0.016449
20000614,0.000881
20000615,0.005811
20000616,-0.009541
20000619,0.015042
20000620,-0.006659
20000621,0.002097
20000622,-0.018218
20000623,-0.007393
20000626,0.009739
20000627,-0.003335
20000628,0.003403
20000629,-0.008666
20000630,0.008580
20000703,0.009827
20000705,-0.016173
20000706,0.007423
20000707,0.015319
20000710,-0.002222
20000711,0.003459
20000712,0.008432
20000713,0.001894
20000714,0.009428
20000717,0.000541
20000718,-0.011055
20000719,-0.007859
20000720,0.009351
20000721,-0.010021
20000724,-0.010667
20000725,0.007075
20000726,-0.015004
20000727,-0.001627
20000728,-0.020448
20000731,0.007756
20000801,0.005080
20000802,0.000497
20000803,0.009792
20000804,0.007225
20000807,0.011263
20000808,0.002618
20000809,-0.006626
20000810,-0.008702
20000811,0.008185
20000814,0.013383
20000815,-0.004891
20000816,-0.002881
20000817,0.010768
20000818,-0.002984
20000821,0.005288
20000822,-0.000792
20000823,0.005313
20000824,0.001704
20000825,-0.001305
20000828,0.005277
20000829,-0.002604
20000830,-0.004400
20000831,0.009986
20000901,0.002094
20000905,-0.008970
20000906,-0.010056
20000907,0.007092
20000908,-0.005290
20000911,-0.003522
20000912,-0.004889
20000913,0.002464
20000914,-0.002677
20000915,-0.010280
20000918,-0.014178
20000919,0.010489
20000920,-0.005506
20000921,-0.002451
20000922,0.000876
20000925,-0.006833
20000926,-0.008219
20000927,-0.000572
20000928,0.021732
20000929,-0.014369
20001002,-0.000038
20001003,-0.007258
20001004,0.005245
20001005,0.002105
20001006,-0.018840
20001009,-0.005590
20001010,-0.011521
20001011,-0.015350
20001012,-0.026515
20001013,0.034524
20001016,0.000466
20001017,-0.017900
20001018,-0.005673
20001019,0.034935
20001020,0.005780
20001023,-0.000939
20001024,0.001801
20001025,-0.023770
20001026,-0.000038
20001027,0.011125
20001030,0.014031
20001031,0.022132
